"sub_id","proj_id","latitude","longitude","to_char","user_id","duration_hrs","all_obs_reported","block","state","nocturnal"
S90617265,EBIRD_ATL_NY,43.2185591,-77.7539986,"2021-06-22 17:24:00",USER107777,1.434,"1","43077B7NE",US-NY,"0"
S90613964,EBIRD_ATL_NY,41.5338580,-74.2098275,"2021-06-22 17:22:00",USER343787,,"0","41074E2SW",US-NY,"0"
S90613827,EBIRD_ATL_NC,35.8872980,-78.9277590,"2021-06-22 17:20:00",USER1000095,0.200,"1","35078H8SE",US-NC,"0"
S90670174,EBIRD_ATL_ME,45.8604433,-68.8615117,"2021-06-22 17:20:00",USER688521,,"0","45068G7NW",US-ME,"0"
S90623697,EBIRD_ATL_NY,43.0758855,-77.7313791,"2021-06-22 17:20:00",USER549401,,"0","43077A6CW",US-NY,"0"
S90613413,EBIRD_ATL_NY,42.4608640,-76.4294920,"2021-06-22 17:17:00",USER148597,0.100,"1","42076D4NE",US-NY,"0"
S90621400,EBIRD_ATL_NY,40.6670795,-73.3801103,"2021-06-22 17:17:00",USER824642,0.233,"1","40073F4CE",US-NY,"0"
S90613050,EBIRD_ATL_MD_DC,39.3143786,-76.8815517,"2021-06-22 17:16:00",USER184015,0.033,"1","39076C8CE",US-MD,"0"
S90615342,EBIRD_ATL_NY,42.8177071,-73.3989717,"2021-06-22 17:15:00",USER297109,2.417,"1","42073G4CE",US-NY,"0"
S90615036,EBIRD_ATL_NC,35.0275120,-83.7658500,"2021-06-22 17:15:00",USER2149192,0.734,"1","35083A7SE",US-NC,"0"
S90633895,EBIRD_ATL_NY,42.3929733,-76.3709006,"2021-06-22 17:15:00",USER19006,,"0","42076D3SW",US-NY,"0"
S90627393,EBIRD_ATL_NY,44.5111100,-73.8861100,"2021-06-22 17:14:00",USER1175611,1.217,"1","44073E8SE",US-NY,"0"
S90627392,EBIRD_ATL_NY,44.5111100,-73.8861100,"2021-06-22 17:14:00",USER1220419,1.217,"1","44073E8SE",US-NY,"0"
S90612836,EBIRD_ATL_NY,43.2304180,-76.2160300,"2021-06-22 17:12:00",USER842850,,"0","43076B2NW",US-NY,"0"
S90612851,EBIRD_ATL_ME,46.7337420,-68.2232180,"2021-06-22 17:12:00",USER1002856,,"0","46068F2NW",US-ME,"0"
S90625684,EBIRD_ATL_MD_DC,39.4056130,-79.3715880,"2021-06-22 17:11:00",USER229214,0.783,"1","39079D3SW",US-MD,"0"
S90612835,EBIRD_ATL_ME,43.2559338,-70.6759336,"2021-06-22 17:10:00",USER134401,0.034,"1","43070C6SE",US-ME,"0"
S90623607,EBIRD_ATL_NY,43.0796298,-77.7234393,"2021-06-22 17:10:00",USER549401,0.084,"1","43077A6CW",US-NY,"0"
S90627420,EBIRD_ATL_NY,44.5053802,-73.8401483,"2021-06-22 17:08:00",USER1220419,,"0","44073E7SW",US-NY,"0"
S90614164,EBIRD_ATL_MD_DC,38.6206259,-77.1168995,"2021-06-22 17:06:00",USER1434112,0.550,"1","38077E1NW",US-MD,"0"
S90612365,EBIRD_ATL_NC,36.2471141,-81.7650487,"2021-06-22 17:02:00",USER645368,,"0","36081B7NE",US-NC,"0"
S90613617,EBIRD_ATL_NY,42.4447825,-79.1652835,"2021-06-22 17:01:00",USER159042,0.250,"1","42079D2CE",US-NY,"0"
S90704380,EBIRD_ATL_ME,44.6203463,-70.0754486,"2021-06-22 17:00:00",USER1392538,1.000,"1","44070E1NW",US-ME,"0"
S90622673,EBIRD_ATL_NY,40.5212324,-74.2130220,"2021-06-22 17:00:00",USER201666,0.067,"1","40074E2SW",US-NY,"0"
S90612926,EBIRD_ATL_ME,43.7618900,-70.1362190,"2021-06-22 16:58:00",USER447679,0.317,"1","43070G2SE",US-ME,"0"
S90614265,EBIRD_ATL_NY,42.6481323,-73.8341109,"2021-06-22 16:54:00",USER293716,0.667,"1","42073F7SW",US-NY,"0"
S90623560,EBIRD_ATL_NY,43.1139775,-77.6885850,"2021-06-22 16:53:00",USER549401,0.084,"1","43077A6NW",US-NY,"0"
S90613281,EBIRD_ATL_NC,35.3870995,-77.2898000,"2021-06-22 16:52:00",USER900325,0.483,"1","35077D3SE",US-NC,"0"
S90613607,EBIRD_ATL_NY,42.4404466,-79.1523501,"2021-06-22 16:50:00",USER159042,0.183,"1","42079D2CE",US-NY,"0"
S90650155,EBIRD_ATL_NY,42.6075848,-76.6984340,"2021-06-22 16:49:00",USER59213,0.317,"1","42076E6NW",US-NY,"0"
S90625428,EBIRD_ATL_NY,43.2103085,-77.9660747,"2021-06-22 16:48:00",USER90347,,"0","43077B8NW",US-NY,"0"
S90612212,EBIRD_ATL_NY,42.6534321,-73.7588003,"2021-06-22 16:47:00",USER286868,0.200,"1","42073F7SE",US-NY,"0"
S90612668,EBIRD_ATL_NY,42.7365550,-78.3020117,"2021-06-22 16:47:00",USER514054,0.350,"1","42078F3NE",US-NY,"0"
S90615770,EBIRD_ATL_NY,42.9015804,-76.7141739,"2021-06-22 16:46:00",USER58184,1.483,"1","42076H6SW",US-NY,"0"
S90612821,EBIRD_ATL_NY,40.6906427,-73.9350649,"2021-06-22 16:45:00",USER1553830,0.250,"1","40073F8CE",US-NY,"0"
S90612364,EBIRD_ATL_NY,42.8610682,-74.4374434,"2021-06-22 16:43:00",USER35858,,"0","42074G4NE",US-NY,"0"
S90613103,EBIRD_ATL_NC,36.0386420,-81.8975920,"2021-06-22 16:42:00",USER374155,0.550,"1","36081A8SE",US-NC,"0"
S90615672,EBIRD_ATL_NY,42.9948521,-75.9899931,"2021-06-22 16:42:00",USER557539,,"0","42075H8NW",US-NY,"0"
S90612359,EBIRD_ATL_NC,35.9784460,-79.1440420,"2021-06-22 16:40:00",USER48106,0.367,"1","35079H2NE",US-NC,"0"
S90613364,EBIRD_ATL_NY,43.2748307,-76.9732189,"2021-06-22 16:34:00",USER492279,0.634,"1","43076C8SW",US-NY,"0"
S90611073,EBIRD_ATL_ME,43.8491701,-69.6273218,"2021-06-22 16:33:00",USER1303808,0.084,"1","43069G6NE",US-ME,"0"
S90613562,EBIRD_ATL_MD_DC,39.5421438,-76.3430430,"2021-06-22 16:30:00",USER1910426,0.917,"1","39076E3CW",US-MD,"0"
S90613890,EBIRD_ATL_NY,40.7647217,-73.7737684,"2021-06-22 16:30:00",USER656098,,"0","40073G7SE",US-NY,"0"
S90612762,EBIRD_ATL_NY,43.3212369,-73.6508197,"2021-06-22 16:30:00",USER206037,0.667,"1","43073C6CE",US-NY,"0"
S90622667,EBIRD_ATL_MD_DC,39.0882110,-77.1626690,"2021-06-22 16:30:00",USER625902,0.583,"1","39077A2NE",US-MD,"0"
S90613297,EBIRD_ATL_MD_DC,39.3395950,-77.1458670,"2021-06-22 16:27:00",USER244031,0.850,"1","39077C2NE",US-MD,"0"
S90613039,EBIRD_ATL_NY,41.1592250,-72.2374600,"2021-06-22 16:27:00",USER19954,0.233,"1","41072B2SW",US-NY,"0"
S90611668,EBIRD_ATL_NC,36.0916461,-79.5000054,"2021-06-22 16:25:00",USER1532482,0.367,"1","36079A5NE",US-NC,"0"
S90616071,EBIRD_ATL_NC,35.4058640,-82.6451320,"2021-06-22 16:17:00",USER1248292,,"0","35082D6SE",US-NC,"0"
S90627472,EBIRD_ATL_NY,41.7142739,-73.6770630,"2021-06-22 16:17:00",USER160045,,"0","41073F6NE",US-NY,"0"
S90610231,EBIRD_ATL_NY,42.5385523,-76.6077244,"2021-06-22 16:15:00",USER1409056,,"0","42076E5SW",US-NY,"0"
S90610267,EBIRD_ATL_NY,42.5385523,-76.6077244,"2021-06-22 16:14:00",USER173000,0.100,"1","42076E5SW",US-NY,"0"
S90617997,EBIRD_ATL_ME,44.3596058,-68.1849033,"2021-06-22 16:14:00",USER224998,0.434,"1","44068C2NE",US-ME,"0"
S90616038,EBIRD_ATL_NC,35.4055120,-82.6435190,"2021-06-22 16:10:00",USER1248292,,"0","35082D6SE",US-NC,"0"
S90610460,EBIRD_ATL_NY,42.6755162,-73.6955280,"2021-06-22 16:07:00",USER222838,0.334,"1","42073F6CW",US-NY,"0"
S90609978,EBIRD_ATL_NY,43.2241795,-77.1114248,"2021-06-22 16:05:00",USER492279,0.150,"1","43077B1NW",US-NY,"0"
S90611644,EBIRD_ATL_MD_DC,39.3918920,-76.8606110,"2021-06-22 16:05:00",USER874,0.650,"1","39076D7SW",US-MD,"0"
S90609364,EBIRD_ATL_NY,42.7247570,-74.2228260,"2021-06-22 16:02:00",USER16267,,"0","42074F2NW",US-NY,"0"
S90609376,EBIRD_ATL_MD_DC,38.5821850,-76.1064810,"2021-06-22 16:02:00",USER757768,,"0","38076E1CW",US-MD,"0"
S90614395,EBIRD_ATL_MD_DC,39.0564204,-76.9839370,"2021-06-22 16:00:00",USER131038,0.750,"1","39076A8CW",US-MD,"0"
S90609326,EBIRD_ATL_NY,43.2079471,-77.1058109,"2021-06-22 15:59:00",USER492279,0.034,"1","43077B1CW",US-NY,"0"
S90610501,EBIRD_ATL_NC,36.2813053,-81.7836550,"2021-06-22 15:59:00",USER645368,0.484,"1","36081C7SE",US-NC,"0"
S90609162,EBIRD_ATL_NY,43.1942462,-77.1014038,"2021-06-22 15:56:00",USER492279,,"0","43077B1CW",US-NY,"0"
S90612534,EBIRD_ATL_NC,35.7589740,-82.6570950,"2021-06-22 15:56:00",USER446659,0.250,"1","35082G6SE",US-NC,"0"
S90614315,EBIRD_ATL_MD_DC,39.6328330,-79.4497490,"2021-06-22 15:56:00",USER197155,0.417,"1","39079F4SW",US-MD,"0"
S90612197,EBIRD_ATL_NY,43.2677790,-77.0967970,"2021-06-22 15:55:00",USER348876,0.133,"1","43077C1SW",US-NY,"0"
S90608933,EBIRD_ATL_NY,43.1804237,-77.1211960,"2021-06-22 15:51:00",USER492279,,"0","43077B1CW",US-NY,"0"
S90608868,EBIRD_ATL_ME,43.3850750,-70.5418054,"2021-06-22 15:50:00",USER103682,,"0","43070D5SE",US-ME,"0"
S90640799,EBIRD_ATL_ME,44.5752652,-67.6517017,"2021-06-22 15:50:00",USER266618,,"0","44067E6CE",US-ME,"0"
S90610055,EBIRD_ATL_NY,42.8717840,-77.7158420,"2021-06-22 15:50:00",USER429152,0.450,"1","42077G6NW",US-NY,"0"
S90609199,EBIRD_ATL_NY,42.8466304,-74.6416926,"2021-06-22 15:49:00",USER35858,0.100,"1","42074G6NE",US-NY,"0"
S90608809,EBIRD_ATL_NY,43.1854802,-77.1324629,"2021-06-22 15:48:00",USER492279,,"0","43077B2CE",US-NY,"0"
S90610446,EBIRD_ATL_NY,43.3275564,-73.6516999,"2021-06-22 15:48:00",USER206037,0.650,"1","43073C6CE",US-NY,"0"
S90609026,EBIRD_ATL_NC,36.2749388,-81.7776453,"2021-06-22 15:46:00",USER645368,0.134,"1","36081C7SE",US-NC,"0"
S90617166,EBIRD_ATL_MD_DC,38.3010265,-76.3828513,"2021-06-22 15:45:00",USER647481,2.667,"1","38076C4CE",US-MD,"0"
S90613129,EBIRD_ATL_NY,42.6755260,-76.9384789,"2021-06-22 15:44:00",USER295181,1.234,"1","42076F8CW",US-NY,"0"
S90609366,EBIRD_ATL_NY,42.6755162,-73.6955280,"2021-06-22 15:42:00",USER222838,0.317,"1","42073F6CW",US-NY,"0"
S90608717,EBIRD_ATL_NY,43.1773776,-77.1551757,"2021-06-22 15:41:00",USER492279,,"0","43077B2CE",US-NY,"0"
S90609247,EBIRD_ATL_NY,42.8449834,-74.7053971,"2021-06-22 15:41:00",USER35858,,"0","42074G6NW",US-NY,"0"
S90627462,EBIRD_ATL_NY,44.4128015,-74.1217150,"2021-06-22 15:39:00",USER1220419,,"0","44074D1SW",US-NY,"0"
S90609261,EBIRD_ATL_NY,42.8533051,-74.7327505,"2021-06-22 15:37:00",USER35858,,"0","42074G6NW",US-NY,"0"
S90608392,EBIRD_ATL_NY,43.1772747,-77.1485718,"2021-06-22 15:36:00",USER492279,0.050,"1","43077B2CE",US-NY,"0"
S90614757,EBIRD_ATL_NC,34.5519970,-77.8113250,"2021-06-22 15:33:00",USER807457,,"0","34077E7CE",US-NC,"0"
S90613581,EBIRD_ATL_NY,42.4561466,-79.1652919,"2021-06-22 15:31:00",USER159042,1.283,"1","42079D2CE",US-NY,"0"
S90624211,EBIRD_ATL_NY,40.8119770,-73.9631208,"2021-06-22 15:31:00",USER797912,,"0","40073G8CW",US-NY,"0"
S90608047,EBIRD_ATL_ME,44.4989370,-68.0560380,"2021-06-22 15:30:00",USER1100526,,"0","44068D1NE",US-ME,"0"
S90607989,EBIRD_ATL_NY,43.2731080,-77.3599350,"2021-06-22 15:28:00",USER2561857,2.000,"1","43077C3SW",US-NY,"0"
S90608108,EBIRD_ATL_NY,43.1744913,-77.1510790,"2021-06-22 15:27:00",USER492279,0.084,"1","43077B2CE",US-NY,"0"
S90612408,EBIRD_ATL_NC,35.7553810,-82.6467500,"2021-06-22 15:27:00",USER446659,0.167,"1","35082G6SE",US-NC,"0"
S90613762,EBIRD_ATL_NC,36.1197850,-79.8126620,"2021-06-22 15:26:00",USER2215285,0.950,"1","36079A7NW",US-NC,"0"
S90611609,EBIRD_ATL_MD_DC,39.2160958,-76.8551588,"2021-06-22 15:25:00",USER618543,0.750,"0","39076B7NW",US-MD,"0"
S90608669,EBIRD_ATL_ME,44.1054842,-69.7648518,"2021-06-22 15:23:00",USER786445,0.367,"1","44069A7NE",US-ME,"0"
S90616081,EBIRD_ATL_NC,35.4063750,-82.6452710,"2021-06-22 15:22:00",USER1248292,,"0","35082D6SE",US-NC,"0"
S90604083,EBIRD_ATL_NY,43.3362307,-73.6561937,"2021-06-22 15:20:00",USER206037,,"0","43073C6NE",US-NY,"0"
S90616468,EBIRD_ATL_NY,41.5366669,-74.5166702,"2021-06-22 15:20:00",USER321678,2.667,"1","41074E5SE",US-NY,"0"
S90607737,EBIRD_ATL_NY,43.1633426,-77.1491981,"2021-06-22 15:19:00",USER492279,0.100,"1","43077B2SE",US-NY,"0"
S90607343,EBIRD_ATL_MD_DC,39.1944640,-76.9111540,"2021-06-22 15:17:00",USER414998,,"0","39076B8CE",US-MD,"0"
S90607342,EBIRD_ATL_MD_DC,39.1944640,-76.9111540,"2021-06-22 15:17:00",USER412347,,"0","39076B8CE",US-MD,"0"
S90609286,EBIRD_ATL_NY,42.8765111,-74.7436672,"2021-06-22 15:17:00",USER35858,0.134,"1","42074H6SW",US-NY,"0"
S90610087,EBIRD_ATL_NC,35.9575221,-82.5068012,"2021-06-22 15:15:00",USER199836,0.750,"1","35082H5CE",US-NC,"0"
S90623358,EBIRD_ATL_NC,35.9575221,-82.5068012,"2021-06-22 15:15:00",USER257175,0.750,"1","35082H5CE",US-NC,"0"
S90607153,EBIRD_ATL_NY,43.1503874,-77.1561744,"2021-06-22 15:13:00",USER492279,,"0","43077B2SE",US-NY,"0"
S90611507,EBIRD_ATL_ME,43.2612806,-70.6806251,"2021-06-22 15:09:00",USER134401,1.534,"1","43070C6SE",US-ME,"0"
S90773514,EBIRD_ATL_NC,35.8233485,-81.1861036,"2021-06-22 15:07:00",USER353514,,"0","35081G2CE",US-NC,"0"
S90609328,EBIRD_ATL_NY,42.8709474,-74.7449408,"2021-06-22 15:06:00",USER35858,0.117,"1","42074G6NW",US-NY,"0"
S90611058,EBIRD_ATL_NC,35.8184170,-81.1859050,"2021-06-22 15:03:00",USER353514,0.700,"1","35081G2CE",US-NC,"0"
S90608100,EBIRD_ATL_MD_DC,38.2999367,-76.3760179,"2021-06-22 15:02:00",USER647481,0.500,"1","38076C4CE",US-MD,"0"
S90628883,EBIRD_ATL_NY,43.1343368,-77.3537922,"2021-06-22 14:58:00",USER492279,,"0","43077B3SW",US-NY,"0"
S90607587,EBIRD_ATL_NY,44.1840870,-76.2255666,"2021-06-22 14:57:00",USER617966,0.433,"1","44076B2CW",US-NY,"0"
S90632530,EBIRD_ATL_NC,35.3841273,-82.3673916,"2021-06-22 14:56:00",USER235247,1.500,"1","35082D3SW",US-NC,"0"
S90606027,EBIRD_ATL_NY,44.2247140,-74.8177720,"2021-06-22 14:50:00",USER1121790,,"0","44074B7NW",US-NY,"0"
S90606041,EBIRD_ATL_NY,43.1088400,-78.8862300,"2021-06-22 14:50:00",USER15309,0.017,"1","43078A8NE",US-NY,"0"
S90606240,EBIRD_ATL_NY,41.4157530,-73.6429220,"2021-06-22 14:50:00",USER191290,0.050,"0","41073D6SE",US-NY,"0"
S90610609,EBIRD_ATL_MD_DC,39.2101833,-76.8527448,"2021-06-22 14:50:00",USER618543,0.500,"1","39076B7NW",US-MD,"0"
S90606145,EBIRD_ATL_NY,42.5449080,-76.6619130,"2021-06-22 14:48:00",USER1409056,0.083,"0","42076E6CE",US-NY,"0"
S90611967,EBIRD_ATL_NY,42.7749013,-75.5070638,"2021-06-22 14:47:00",USER355506,2.084,"1","42075G5SE",US-NY,"0"
S90614333,EBIRD_ATL_MD_DC,39.6236370,-79.4483370,"2021-06-22 14:46:00",USER197155,1.050,"1","39079E4NW",US-MD,"0"
S90606051,EBIRD_ATL_NY,41.4542166,-74.0573175,"2021-06-22 14:45:00",USER534395,0.083,"1","41074D1CE",US-NY,"0"
S90606860,EBIRD_ATL_NY,42.6432581,-73.7861400,"2021-06-22 14:43:00",USER42601,0.417,"1","42073F7SE",US-NY,"0"
S90607897,EBIRD_ATL_NY,42.5448390,-76.6620100,"2021-06-22 14:43:00",USER173000,0.750,"1","42076E6CE",US-NY,"0"
S90606355,EBIRD_ATL_ME,44.6533294,-67.7277088,"2021-06-22 14:41:00",USER103267,0.267,"1","44067F6SW",US-ME,"0"
S90609471,EBIRD_ATL_MD_DC,39.3375031,-76.9899048,"2021-06-22 14:40:00",USER1062447,1.400,"1","39076C8NW",US-MD,"0"
S90606340,EBIRD_ATL_NY,42.6066323,-77.5721345,"2021-06-22 14:37:00",USER1099289,0.317,"1","42077E5NW",US-NY,"0"
S90641456,EBIRD_ATL_NY,42.8692335,-77.2442722,"2021-06-22 14:36:00",USER407762,2.284,"1","42077G2NW",US-NY,"0"
S90627803,EBIRD_ATL_NY,41.6519760,-73.6862791,"2021-06-22 14:35:00",USER1013937,0.333,"1","41073F6SE",US-NY,"0"
S90859079,EBIRD_ATL_MD_DC,38.9330096,-76.3049706,"2021-06-22 14:35:00",USER703759,0.417,"1","38076H3CE",US-MD,"0"
S90623259,EBIRD_ATL_MD_DC,39.4168270,-76.8318386,"2021-06-22 14:33:00",USER474042,3.400,"1","39076D7CW",US-MD,"0"
S90612991,EBIRD_ATL_NY,42.4677180,-76.4512346,"2021-06-22 14:31:00",USER135617,2.733,"1","42076D4NW",US-NY,"0"
S90605994,EBIRD_ATL_NY,43.0939756,-78.8670194,"2021-06-22 14:30:00",USER15309,0.317,"1","43078A7NW",US-NY,"0"
S90610379,EBIRD_ATL_MD_DC,39.2160958,-76.8551588,"2021-06-22 14:30:00",USER618543,0.167,"1","39076B7NW",US-MD,"0"
S90605065,EBIRD_ATL_MD_DC,38.9996890,-76.3983936,"2021-06-22 14:28:00",USER503578,,"0","38076H4NE",US-MD,"0"
S90692527,EBIRD_ATL_NC,36.0163119,-82.1352512,"2021-06-22 14:26:00",USER356224,0.300,"1","36082A2SE",US-NC,"0"
S90692517,EBIRD_ATL_NC,36.0163119,-82.1352512,"2021-06-22 14:26:00",USER43704,0.300,"1","36082A2SE",US-NC,"0"
S90879945,EBIRD_ATL_NY,44.4668164,-75.3400487,"2021-06-22 14:26:00",USER60015,0.200,"1","44075D3NW",US-NY,"0"
S90606607,EBIRD_ATL_NC,35.9327540,-79.0997670,"2021-06-22 14:25:00",USER2260010,0.617,"1","35079H1CW",US-NC,"0"
S90612396,EBIRD_ATL_NY,42.8681310,-74.7397250,"2021-06-22 14:16:00",USER35858,0.734,"1","42074G6NW",US-NY,"0"
S90605153,EBIRD_ATL_NC,34.9668030,-78.9505400,"2021-06-22 14:14:00",USER1436602,0.267,"1","34078H8NW",US-NC,"0"
S90691861,EBIRD_ATL_NC,36.0189467,-82.1289673,"2021-06-22 14:14:00",USER43704,0.167,"1","36082A2SE",US-NC,"0"
S90691868,EBIRD_ATL_NC,36.0189467,-82.1289673,"2021-06-22 14:14:00",USER356224,0.167,"1","36082A2SE",US-NC,"0"
S90611077,EBIRD_ATL_NC,35.9491799,-81.2001468,"2021-06-22 14:13:00",USER353514,,"0","35081H2CW",US-NC,"0"
S90676361,EBIRD_ATL_NC,36.3137200,-81.6101070,"2021-06-22 14:10:00",USER436000,,"0","36081C5CW",US-NC,"0"
S90605159,EBIRD_ATL_NY,42.5984202,-77.5814970,"2021-06-22 14:09:00",USER1099289,0.284,"0","42077E5NW",US-NY,"0"
S90669974,EBIRD_ATL_MD_DC,39.4837970,-79.3653110,"2021-06-22 14:05:00",USER378451,0.467,"1","39079D3NW",US-MD,"0"
S90604706,EBIRD_ATL_NC,35.2359610,-75.5299510,"2021-06-22 14:04:00",USER207928,0.267,"1","35075B5NE",US-NC,"0"
S90609083,EBIRD_ATL_NC,36.0228880,-82.1339150,"2021-06-22 13:58:00",USER43704,0.250,"1","36082A2SE",US-NC,"0"
S90609084,EBIRD_ATL_NC,36.0228880,-82.1339150,"2021-06-22 13:58:00",USER356224,0.250,"1","36082A2SE",US-NC,"0"
S90612407,EBIRD_ATL_NY,42.8466304,-74.6416926,"2021-06-22 13:56:00",USER35858,0.100,"1","42074G6NE",US-NY,"0"
