"block","proj_id","nocturnal_hours","block_effort","diurnal_hours"
"39077C4CE","EBIRD_ATL_MD_DC",2.683,196.083,193.4
"38075C1CW","EBIRD_ATL_MD_DC",3.883,193.002,189.119
"38076E5SE","EBIRD_ATL_MD_DC",3.534,190.92,187.386
"39076E5SW","EBIRD_ATL_MD_DC",3.923,190.727,186.804
"38076G7NW","EBIRD_ATL_MD_DC",0,188.616,188.616
"39076C2SE","EBIRD_ATL_MD_DC",0,187.779,187.779
"38075B2NE","EBIRD_ATL_MD_DC",1.736,187.579,185.843
"39076C6SW","EBIRD_ATL_MD_DC",1.25,184.645,183.395
"38076A3CW","EBIRD_ATL_MD_DC",0.5,184.134,183.634
"39079F3NW","EBIRD_ATL_MD_DC",3.233,183.573,180.34
"38076F6NW","EBIRD_ATL_MD_DC",2.233,182.841,180.608
"39077D3CE","EBIRD_ATL_MD_DC",0,178.713,178.713
"39076E3CW","EBIRD_ATL_MD_DC",1.049,177.43,176.381
"o37075H3SW","EBIRD_ATL_MD_DC",6.184,177.049,170.865
"39077D3SE","EBIRD_ATL_MD_DC",3.633,177.039,173.406
"39077B1CE","EBIRD_ATL_MD_DC",0.167,176.736,176.569
"39077F4SE","EBIRD_ATL_MD_DC",0,173.328,173.328
"39076D6NW","EBIRD_ATL_MD_DC",2.67,169.942,167.272
"39076C8SE","EBIRD_ATL_MD_DC",3.098,166.15,163.052
"38076F5CW","EBIRD_ATL_MD_DC",0.433,161.165,160.732
"39077A4NE","EBIRD_ATL_MD_DC",9.351,159.154,149.803
"39076D7CW","EBIRD_ATL_MD_DC",1.617,158.771,157.154
"38076F1NE","EBIRD_ATL_MD_DC",1.733,157.04,155.307
"38076F3CW","EBIRD_ATL_MD_DC",2.067,157.022,154.955
"39079F4CE","EBIRD_ATL_MD_DC",0,152.415,152.415
"39076D7SW","EBIRD_ATL_MD_DC",2.268,152.217,149.949
"39077B3NW","EBIRD_ATL_MD_DC",2.583,151.576,148.993
"38075C5NW","EBIRD_ATL_MD_DC",1.766,151.034,149.268
"39077B3CE","EBIRD_ATL_MD_DC",0.3,148.352,148.052
"39076B5NW","EBIRD_ATL_MD_DC",0,146.737,146.737
"o38077H2NW","EBIRD_ATL_MD_DC",0.333,144.414,144.081
"38076G4SE","EBIRD_ATL_MD_DC",0,144.05,144.05
"o38077F1NE","EBIRD_ATL_MD_DC",0,143.202,143.202
"39076A8CE","EBIRD_ATL_MD_DC",5,141.184,136.184
"39076C7NW","EBIRD_ATL_MD_DC",2.617,140.568,137.951
"39076B7CE","EBIRD_ATL_MD_DC",2.453,140.257,137.804
"39079D4CW","EBIRD_ATL_MD_DC",0.383,140.028,139.645
"38076C4SE","EBIRD_ATL_MD_DC",4.75,139.565,134.815
"38076G6NW","EBIRD_ATL_MD_DC",1.134,138.459,137.325
"38076G1CW","EBIRD_ATL_MD_DC",1.017,137.086,136.069
"39076D3NE","EBIRD_ATL_MD_DC",1.351,136.85,135.499
"39076A7NE","EBIRD_ATL_MD_DC",1.234,136.757,135.523
"38076H8NW","EBIRD_ATL_MD_DC",2.534,136.134,133.6
"39079D4SE","EBIRD_ATL_MD_DC",0.667,135.079,134.412
"39075E8CE","EBIRD_ATL_MD_DC",3.104,134.345,131.241
"39077B1NE","EBIRD_ATL_MD_DC",1.284,132.376,131.092
"39077D6NW","EBIRD_ATL_MD_DC",0,131.652,131.652
"o38077G1CE","EBIRD_ATL_MD_DC",0,131.34,131.34
"39076B6CW","EBIRD_ATL_MD_DC",0.967,131.131,130.164
"38075H8CE","EBIRD_ATL_MD_DC",0,129.702,129.702
"39077B2NE","EBIRD_ATL_MD_DC",0.867,129.132,128.265
"39076E4CW","EBIRD_ATL_MD_DC",7.3,129.125,121.825
"39077D6CW","EBIRD_ATL_MD_DC",1.433,128.485,127.052
"39076C5NW","EBIRD_ATL_MD_DC",1.317,128.464,127.147
"38076H3NW","EBIRD_ATL_MD_DC",0,126.785,126.785
"39076A7NW","EBIRD_ATL_MD_DC",0.65,126.773,126.123
"39076A7CW","EBIRD_ATL_MD_DC",12.031,126.448,114.417
"38076G2NE","EBIRD_ATL_MD_DC",0.1,126.103,126.003
"38076G5CE","EBIRD_ATL_MD_DC",11.002,126.067,115.065
"39076D5SE","EBIRD_ATL_MD_DC",0,125.361,125.361
"38076F5SW","EBIRD_ATL_MD_DC",0.417,123.851,123.434
"39076C7NE","EBIRD_ATL_MD_DC",0.584,123.486,122.902
"39076B6NE","EBIRD_ATL_MD_DC",0,122.334,122.334
"39076D3NW","EBIRD_ATL_MD_DC",0,121.3,121.3
"39076E6NE","EBIRD_ATL_MD_DC",0.501,121.287,120.786
"39077B1SW","EBIRD_ATL_MD_DC",0,121.217,121.217
"39077B2SW","EBIRD_ATL_MD_DC",0.5,119.154,118.654
"o38077H2NE","EBIRD_ATL_MD_DC",0.25,118.761,118.511
"39076C3NW","EBIRD_ATL_MD_DC",0,118.223,118.223
"39078F8NW","EBIRD_ATL_MD_DC",0.6,117.017,116.417
"39076D6CE","EBIRD_ATL_MD_DC",1.4,116.903,115.503
"38075H8NW","EBIRD_ATL_MD_DC",0.951,116.611,115.66
"39077C4NE","EBIRD_ATL_MD_DC",0,116.282,116.282
"38075B2CE","EBIRD_ATL_MD_DC",0.5,115.908,115.408
"38076H8CW","EBIRD_ATL_MD_DC",0.633,115.84,115.207
"38077E1NW","EBIRD_ATL_MD_DC",1.533,115.526,113.993
"39076C8SW","EBIRD_ATL_MD_DC",0,113.215,113.215
"39076E6CE","EBIRD_ATL_MD_DC",0.401,113.165,112.764
"39077B3SE","EBIRD_ATL_MD_DC",0.034,112.696,112.662
"39077D3SW","EBIRD_ATL_MD_DC",0.167,111.95,111.783
"39076D4CE","EBIRD_ATL_MD_DC",0.85,110.185,109.335
"39079D4NE","EBIRD_ATL_MD_DC",0.883,110.028,109.145
"39079E4CE","EBIRD_ATL_MD_DC",1.183,109.982,108.799
"39077E4NW","EBIRD_ATL_MD_DC",1.133,109.133,108
"39076B7SE","EBIRD_ATL_MD_DC",0,108.901,108.901
"38076C4NW","EBIRD_ATL_MD_DC",0.517,108.688,108.171
"39076A3SE","EBIRD_ATL_MD_DC",0.25,108.329,108.079
"39078F8CW","EBIRD_ATL_MD_DC",0,108.323,108.323
"37075H6NW","EBIRD_ATL_MD_DC",8.15,108.311,100.161
"39076F1SW","EBIRD_ATL_MD_DC",0,107.987,107.987
"39079E3CE","EBIRD_ATL_MD_DC",1.851,107.928,106.077
"39076F2SE","EBIRD_ATL_MD_DC",0.184,106.276,106.092
"39077D4CW","EBIRD_ATL_MD_DC",0.4,104.861,104.461
"39077D2CW","EBIRD_ATL_MD_DC",1.817,104.652,102.835
"39077B1NW","EBIRD_ATL_MD_DC",0.667,104.563,103.896
"39076A8NE","EBIRD_ATL_MD_DC",0.467,103.521,103.054
"39077D7NE","EBIRD_ATL_MD_DC",2.084,103.235,101.151
"39076D7NW","EBIRD_ATL_MD_DC",0.234,102.575,102.341
"39079E2CW","EBIRD_ATL_MD_DC",4.433,102.316,97.883
"39076C7CE","EBIRD_ATL_MD_DC",0,101.41,101.41
"38076H6CW","EBIRD_ATL_MD_DC",0,101.168,101.168
"39076A7SW","EBIRD_ATL_MD_DC",1.751,101.108,99.357
"38076C5CE","EBIRD_ATL_MD_DC",2.751,100.919,98.168
"38076E1CW","EBIRD_ATL_MD_DC",2.584,100.418,97.834
"39076D4SW","EBIRD_ATL_MD_DC",1,100.188,99.188
"39077F4SW","EBIRD_ATL_MD_DC",0.401,100.082,99.681
"39076D2CW","EBIRD_ATL_MD_DC",0,99.919,99.919
"39077A3NW","EBIRD_ATL_MD_DC",1.617,99.294,97.677
"38075B8CE","EBIRD_ATL_MD_DC",0.968,99.187,98.219
"39079D4NW","EBIRD_ATL_MD_DC",2.185,99.031,96.846
"39077B2CE","EBIRD_ATL_MD_DC",0,98.318,98.318
"39077A2CE","EBIRD_ATL_MD_DC",0.399,98.181,97.782
"39076C6NW","EBIRD_ATL_MD_DC",1,97.92,96.92
"39077C1NW","EBIRD_ATL_MD_DC",0.584,97.417,96.833
"39076D6NE","EBIRD_ATL_MD_DC",0.501,97.005,96.504
"39078E7NW","EBIRD_ATL_MD_DC",0.05,96.84,96.79
"38076B4SE","EBIRD_ATL_MD_DC",0,95.697,95.697
"39076E5CW","EBIRD_ATL_MD_DC",0.3,95.287,94.987
"o39077A2SW","EBIRD_ATL_MD_DC",0.2,95.152,94.952
"39077A2SE","EBIRD_ATL_MD_DC",1.466,95.046,93.58
"38076F1CE","EBIRD_ATL_MD_DC",1.084,94.778,93.694
"39076A6SE","EBIRD_ATL_MD_DC",0,94.116,94.116
"38075C1NW","EBIRD_ATL_MD_DC",0.55,93.824,93.274
"38077E1CW","EBIRD_ATL_MD_DC",0.667,93.572,92.905
"39077D4NE","EBIRD_ATL_MD_DC",1.549,93.516,91.967
"39077C1CW","EBIRD_ATL_MD_DC",1.403,93.447,92.044
"39077C1CE","EBIRD_ATL_MD_DC",3,93.34,90.34
"39079F1SW","EBIRD_ATL_MD_DC",0,91.239,91.239
"39076D2NE","EBIRD_ATL_MD_DC",0,91.218,91.218
"39077D1CE","EBIRD_ATL_MD_DC",0,91.035,91.035
"39076C6CW","EBIRD_ATL_MD_DC",2.333,90.531,88.198
"38076G1SE","EBIRD_ATL_MD_DC",0,90.068,90.068
"39076F7SE","EBIRD_ATL_MD_DC",0.234,89.885,89.651
"39078E1NE","EBIRD_ATL_MD_DC",0,89.636,89.636
"39077D4NW","EBIRD_ATL_MD_DC",0.033,89.223,89.19
"39076D5SW","EBIRD_ATL_MD_DC",1.3,88.014,86.714
"39076E7SW","EBIRD_ATL_MD_DC",0.217,86.517,86.3
"38076F2CE","EBIRD_ATL_MD_DC",0.583,86.421,85.838
"39077B4NE","EBIRD_ATL_MD_DC",0,85.667,85.667
"38076F1NW","EBIRD_ATL_MD_DC",1.25,84.783,83.533
"38075C4CW","EBIRD_ATL_MD_DC",2.154,84.575,82.421
